nform,nper,sit.conyugal,nivel.educ,parent.jefe,edad,sexo,dedicacion.p,tipo.p,tareas.p,jub.pen,transf.pais,transf.ext,afam,benef.esp
84,2,4,4,1,"[30, +)",2,trabaja,1,3,NA,NA,NA,NA,2600
84,3,1,2,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
84,13,1,1,4,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
84,14,1,1,4,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
86,1,1,4,4,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
86,2,3,9,1,"[30, +)",1,trabaja,1,2,NA,NA,1,200,NA
86,3,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
86,13,1,NA,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
86,14,3,9,2,"[30, +)",2,trabaja,1,2,NA,NA,1,NA,NA
88,1,1,2,3,"[15, 18)",2,nada,NA,NA,NA,NA,NA,NA,NA
88,2,2,2,1,NA,1,trabaja,6,9,NA,NA,3,1200,NA
88,3,2,2,2,NA,2,desocupado,NA,NA,NA,NA,NA,NA,NA
88,4,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
89,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
89,2,2,2,1,NA,1,trabaja,6,9,NA,NA,3,1200,NA
89,3,2,2,2,NA,2,desocupado,NA,NA,NA,NA,NA,NA,NA
89,4,1,2,3,"[15, 18)",2,nada,NA,NA,NA,NA,NA,NA,NA
91,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
91,2,3,4,1,"[30, +)",1,trabaja,5,9,NA,NA,NA,NA,NA
91,3,3,4,2,NA,2,trabaja,2,9,NA,NA,1,150,NA
91,4,1,7,3,"[21,30)",2,estudia,NA,NA,NA,NA,NA,NA,NA
94,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
94,2,3,2,2,"[21,30)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
94,3,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
94,13,3,5,1,"[30, +)",1,trabaja,3,5,NA,NA,NA,NA,NA
94,14,4,NA,9,NA,1,trabaja,2,6,NA,NA,NA,NA,NA
95,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
95,2,3,5,1,"[30, +)",1,trabaja,1,9,NA,NA,NA,NA,NA
95,3,3,4,2,"[30, +)",2,trabaja,1,5,NA,NA,NA,2042,NA
95,4,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
95,13,1,NA,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
99,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
99,2,3,4,1,"[30, +)",2,trabaja,1,5,NA,NA,NA,1000,NA
99,4,1,4,4,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
99,5,1,1,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
100,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
100,2,3,4,2,NA,2,pensionista,NA,NA,4000,NA,NA,NA,NA
100,3,1,4,3,"[21,30)",2,trabaja,2,3,NA,NA,NA,NA,NA
100,4,1,5,3,"[21,30)",2,trabaja,6,9,NA,NA,NA,NA,NA
100,5,3,4,1,NA,1,jubilado,NA,NA,1000,NA,NA,NA,NA
101,1,1,4,5,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
101,2,3,4,1,"[30, +)",1,trabaja,1,4,NA,NA,1,200,NA
101,3,3,4,2,"[30, +)",2,desocupado,NA,NA,NA,NA,1,NA,NA
101,4,1,2,5,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
102,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
102,4,3,5,2,"[30, +)",1,trabaja,2,8,0,0,1,NA,2
102,5,3,4,1,"[30, +)",2,desocupado,NA,NA,0,0,1,NA,2
102,6,1,5,3,"[15, 18)",1,estudia,NA,NA,0,0,1,2300,NA
102,13,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
103,1,1,4,4,"[12,15)",1,estudia,NA,NA,NA,NA,1,NA,NA
103,3,1,4,1,"[30, +)",2,trabaja,2,5,NA,NA,1,700,NA
104,1,1,4,5,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
104,3,2,4,2,"[30, +)",2,trabaja,2,5,4000,NA,NA,1417,NA
